DOY_2016,SoilM,SoilT,Rh,CH4,N2O,NH4,NO3
124,25.66785015,5.984393519,29.95847371,-0.0224205,0.017653581,20.32133627,12.20840575
125,26.09981631,5.92512963,25.33865277,-0.0187132,0.022048076,20.32133627,12.20840575
126,26.34260804,6.909625,31.03247275,-0.0181661,0.239946793,20.32133627,12.20840575
127,26.07193343,7.873865741,34.12122567,-0.018856,0.59666107,20.32133627,12.20840575
128,26.15448931,8.011287037,32.19221304,-0.017733,0.0734972,20.32133627,12.20840575
129,26.73606114,6.179452381,23.19560602,-0.0171032,0.080991112,20.32133627,12.20840575
130,26.12134492,7.394395833,32.23769071,-0.0297665,0.249673902,20.32133627,12.20840575
131,25.7797943,7.594777778,25.58751499,-0.0275395,0.101832988,20.32133627,12.20840575
132,25.41181519,8.33275463,30.31357746,-0.0302456,0.22798835,20.32133627,12.20840575
133,25.10166769,9.162037037,32.14117428,-0.0291395,-0.124746231,20.32133627,12.20840575
134,25.35247978,10.55222222,43.16574611,-0.029395,0.174407234,20.32133627,12.20840575
135,26.14044383,9.743009259,32.96986608,-0.0226186,0.150040133,20.32133627,12.20840575
136,26.63798667,7.179347222,21.04199805,-0.0219041,-0.064185603,20.32133627,12.20840575
137,26.395526,6.433314815,24.43969615,-0.0220522,0.13598084,20.32133627,12.20840575
140,25.18789456,9.71,42.90805414,-0.0219446,0.15083608,20.32133627,12.20840575
141,24.85743728,10.56398148,44.16358279,-0.0184364,0.273953268,20.32133627,12.20840575
142,24.58435526,10.93921296,41.42632076,-0.0216521,0.110670031,20.32133627,12.20840575
143,24.30935857,11.24921296,41.90037984,-0.0218243,0.079748974,20.32133627,12.20840575
144,24.07574302,11.4350463,45.08484623,-0.0255964,-0.247213254,20.32133627,12.20840575
145,23.88206402,11.87078704,50.52651874,-0.0277663,0.040899364,20.32133627,12.20840575
146,23.60447435,12.0537963,49.68735265,-0.0276866,0.040769623,20.32133627,12.20840575
147,23.38791193,11.24814815,48.80654545,-0.0290859,-0.007451234,20.32133627,12.20840575
148,23.29077306,11.87560185,57.89785104,-0.0269164,0.118955618,20.32133627,12.20840575
149,23.2868095,11.40467593,54.14203385,-0.0254021,0.063936183,20.32133627,12.20840575
150,23.84883154,10.88240741,52.52986818,-0.0226771,0.05233381,20.32133627,12.20840575
151,23.96701222,12.79412037,71.01797581,-0.023333,0.197445123,20.32133627,12.20840575
152,23.66071056,12.97231481,67.03498445,-0.0261244,0.272145116,20.32133627,12.20840575
153,23.34352833,12.14791667,55.68598053,-0.0263201,0.129236532,20.32133627,12.20840575
154,23.16413517,11.58481481,53.62110382,-0.0275702,-0.044742956,20.32133627,12.20840575
155,23.04905311,12.25574074,62.54796346,-0.0280121,0.006505479,20.32133627,12.20840575
156,22.90462904,12.52810185,63.61024225,-0.0279979,-0.059786043,20.32133627,12.20840575
157,25.7934265,12.40203704,78.2020647,-0.0215423,0.010835982,20.32133627,12.20840575
