variables,values
KmO2_Rh,245
alphaVmaxSx,2.30E+11
EaVmaxSx,72
KMSx,1000
alphaVmaxCH4prod,3.00E+06
EaVmaxCH4prod,100
KMSx_CH4prod,350
alphaVmaxCH4ox,0.07
EaVmaxCH4ox,30
KMCH4ox,0.01
KmO2_CH4ox,43
kl_CH4prod,3
alphaVmaxN2Oprod_nitrif,100
EaVmaxN2Oprod_nitrif,50
KM_N2Oprod_nitrif,22.22
KMO2_N2Oprod_nitrif,143.3
alphaVmaxN2Oprod_denitrif,100
EaVmaxN2Oprod_denitrif,50
KM_N2Oprod_denitrif,26
alphaVmaxN2Ored,1500
EaVmaxN2Ored,50
KMN2Ored,0.16
kl_N2Oprod,14.3
kl_N2Ored,7.2
KMSx_denitrif,1000
